id,Nacionalidad
1,"AFGANO"
2,"AKROTA"
3,"ALBANÉS"
4,"ALEMÁN"
5,"ANDORRANO"
6,"ANGOLEÑO"
7,"ANGUILENSE"
9,"ANTIGUANO"
13,"ARGELINO"
14,"ARGENTINO"
15,"ARMENIO"
16,"ARUBEÑO"
19,"AUSTRALIANO"
20,"AUSTRIACO"
21,"AZERBAIYANO"
22,"BAHAMEÑO"
24,"BANGLADESÍ"
25,"BARBADENSE"
23,"BAREINÍ"
26,"BELGA"
27,"BELICEÑO"
28,"BENINÉS"
29,"BERMUDEÑO"
30,"BIELORRUSO"
31,"BIRMANO"
32,"BOLIVIANO"
33,"BOSNIO"
34,"BOTSUANO"
35,"BRASILEÑO"
192,"BRITÁNICO"
36,"BRUNEANO"
38,"BURKINÉS"
39,"BURUNDÉS"
40,"BUTANÉS"
37,"BÚLGARO"
41,"CABOVERDIANO"
109,"CAIMANÉS"
42,"CAMBOYANO"
43,"CAMERUNÉS"
44,"CANADIENSE"
191,"CATARÍ"
193,"CENTROAFRICANO"
45,"CHADIANO"
194,"CHECO"
46,"CHILENO"
47,"CHINO"
48,"CHIPRIOTA"
50,"COLOMBIANO"
51,"COMORENSE"
195,"CONGOLEÑO"
53,"CONGOLÉS"
57,"COSTARRICENSE"
58,"CROATA"
59,"CUBANO"
61,"DANÉS"
113,"DE LA ISLA DE MAN"
107,"DE LA ISLA NORFOLK"
110,"DE LAS ISLAS COCOS"
111,"DE LAS ISLAS COOK"
116,"DE LAS ISLAS MARIANAS DEL NORTE"
118,"DE LAS ISLAS PITCAIRN"
120,"DE LAS ISLAS TURCAS Y CAICOS"
122,"DE LAS ISLAS VÍRGENES BRITÁNICAS"
121,"DE LAS ISLAS VÍRGENES DE LOS ESTADOS UNIDOS"
202,"DE SAMOA AMERICANA"
205,"DE SAN PEDRO Y MIQUELÓN"
207,"DE SANTA ELENA"
251,"DE WALLIS Y FUTUNA"
196,"DOMINICANO"
62,"DOMINIQUÉS"
92,"ECUATOGUINEANO"
63,"ECUATORIANO"
64,"EGIPCIO"
67,"EMIRATÍ[CITA REQUERIDA]"
68,"ERITREO"
69,"ESLOVACO"
70,"ESLOVENO"
71,"ESPAÑOL"
219,"ESRILANQUÉS"
72,"ESTADOUNIDENSE"
73,"ESTONIO"
74,"ETÍOPE"
257,"EXTRANJERO"
112,"FEROÉS"
75,"FILIPINO"
76,"FINLANDÉS"
77,"FIYIANO"
78,"FRANCÉS"
79,"GABONÉS"
80,"GAMBIANO"
82,"GEORGIANO"
83,"GHANÉS"
84,"GIBRALTAREÑO"
85,"GRANADINO"
86,"GRIEGO"
87,"GROENLANDÉS"
88,"GUAMÉS"
89,"GUATEMALTECO"
90,"GUERNESEYÉS"
91,"GUINEANO"
93,"GUINEANO"
94,"GUYANÉS"
95,"HAITIANO"
96,"HONDUREÑO"
97,"HONGKONÉS"
98,"HÚNGARO"
99,"INDIO"
101,"INDONESIO"
102,"IRANÍ"
103,"IRAQUÍ"
104,"IRLANDÉS"
108,"ISLANDÉS"
123,"ISRAELÍ (DEL ESTADO DE ISRAEL)"
124,"ITALIANO"
125,"JAMAICANO"
127,"JAPONÉS"
128,"JERSEYÉS"
129,"JORDANO"
130,"KAZAJO"
131,"KENIANO"
132,"KIRGUÍS"
133,"KIRIBATIANO"
134,"KUWAITÍ"
135,"LAOSIANO"
136,"LESOTENSE"
137,"LETÓN"
138,"LIBANÉS"
139,"LIBERIANO"
140,"LIBIO"
141,"LIECHTENSTEINIANO"
142,"LITUANO"
143,"LUXEMBURGUÉS"
144,"MACAENSE"
145,"MACEDONIO"
147,"MALASIO"
148,"MALAUÍ"
149,"MALDIVO"
146,"MALGACHE"
150,"MALIENSE"
151,"MALTÉS"
115,"MALVINENSE"
56,"MARFILEÑO"
153,"MARROQUÍ"
117,"MARSHALÉS"
154,"MAURICIANO"
155,"MAURITANO"
156,"MAYOTTE"
157,"MEXICANO"
158,"MICRONESIA"
159,"MOLDAVO"
160,"MONEGASCO"
161,"MONGOL"
162,"MONTENEGRINO"
163,"MONTSERRATENSE"
164,"MOZAMBIQUEÑO"
166,"NAMIBIO"
167,"NAURUANO"
179,"NEERLANDÉS"
175,"NEOCALEDONIO"
176,"NEOZELANDÉS"
169,"NEPALÉS"
170,"NICARAGÜENSE"
172,"NIGERIANO"
171,"NIGERINO"
173,"NIUEÑO"
54,"NORCOREANO"
174,"NORUEGO"
177,"OMANÍ"
180,"PAKISTANÍ"
181,"PALAUANO"
182,"PANAMEÑO"
183,"PAPÚ"
185,"PARAGUAYO"
186,"PERUANO"
188,"POLACO"
187,"POLINESIO"
189,"PORTUGUÉS"
190,"PUERTORRIQUEÑO"
231,"REINO UNIDO"
197,"RUANDÉS"
198,"RUMANO"
199,"RUSO"
200,"SAHARIANO"
119,"SALOMONENSE"
65,"SALVADOREÑO"
201,"SAMOANO"
203,"SANCRISTOBALEÑO"
204,"SANMARINENSE"
208,"SANTALUCENSE"
209,"SANTOTOMENSE"
206,"SANVICENTINO"
11,"SAUDÍ O SAUDITA"
210,"SENEGALÉS"
211,"SERBIO"
212,"SEYCHELLENSE"
213,"SIERRALEONÉS"
214,"SINGAPURENSE"
215,"SIRIO"
216,"SOMALÍ"
220,"SUAZI"
221,"SUDAFRICANO"
222,"SUDANÉS"
223,"SUECO"
224,"SUIZO"
55,"SURCOREANO"
225,"SURINAMÉS"
227,"TAILANDÉS"
228,"TAIWANES"
229,"TANZANO"
230,"TAYIKO"
233,"TIMORENSE"
234,"TOGOLÉS"
235,"TOKELAUENSE"
236,"TONGANO"
237,"TRINITENSE"
238,"TUNECINO"
240,"TURCO"
239,"TURCOMANO"
241,"TUVALUANO"
242,"UCRANIANO"
243,"UGANDÉS"
245,"URUGUAYO"
246,"UZBEKO"
247,"VANUATUENSE"
66,"VATICANO"
248,"VENEZOLANO"
249,"VIETNAMITA"
253,"YEMENÍ"
254,"YIBUTIANO"
255,"ZAMBIANO"
256,"ZIMBABUENSE"